DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2716.5,17.5959,-0.0044,2.143,93.6681,11.105,0.3483,199.5999
2717.0,17.546,-0.0217,2.125,94.2848,11.4837,0.3324,199.9233
2717.5,17.546,-0.0369,2.13,94.2415,11.8623,0.3251,199.8564
2718.0,17.5959,-0.0282,2.141,93.7221,12.243,0.3239,200.0324
2718.5,17.496,-0.0109,2.159,92.7576,12.9057,0.3369,199.8158
2719.0,17.496,-0.0109,2.161,92.2703,12.7536,0.3381,199.2834
2719.5,17.496,-0.0152,2.175,92.3504,12.2216,0.3375,199.1256
2720.0,17.496,-0.0152,2.158,92.4632,11.7345,0.3367,199.4764
2720.5,17.496,-0.0347,2.156,92.546,11.6412,0.3261,199.9478
2721.0,17.496,-0.0542,2.178,92.3458,10.9295,0.2997,200.3298
2721.5,17.546,-0.0369,2.176,91.8934,10.7789,0.2923,200.5817
2722.0,17.546,-0.0586,2.166,91.4417,11.0297,0.3068,200.7077
2722.5,17.546,-0.0607,2.169,91.0312,11.3703,0.3169,200.7361
2723.0,17.496,-0.0542,2.174,90.8459,11.6972,0.3235,200.7066
2723.5,17.496,-0.0282,2.179,91.023,11.9342,0.3243,200.6071
2724.0,17.496,-0.0412,2.161,91.4181,11.9549,0.3308,200.5039
2724.5,17.496,-0.0391,2.16,91.7733,11.4671,0.3324,200.4705
2725.0,17.496,-0.0131,2.164,91.7041,10.8452,0.3222,200.4705
2725.5,17.496,-0.0174,2.155,91.3972,10.9834,0.3074,200.437
2726.0,17.496,-0.0499,2.139,91.4649,11.4111,0.3249,200.1913
2726.5,17.496,-0.0239,2.14,92.049,11.6951,0.3383,199.6391
2727.0,17.496,-0.0152,2.146,92.6136,11.9791,0.3324,199.1159
2727.5,17.496,-0.0282,2.164,92.6527,12.2879,0.3165,198.7917
2728.0,17.496,-0.0369,2.17,92.3292,12.8697,0.31,198.753
2728.5,17.546,-0.0347,2.178,91.9988,13.8163,0.3178,198.8427
2729.0,17.5959,-0.0282,2.161,92.3689,14.0167,0.33,198.7665
2729.5,17.496,-0.0347,2.15,93.1128,14.0291,0.3367,198.7569
2730.0,17.496,-0.0369,2.154,93.6067,13.8619,0.33,198.8388
2730.5,17.446,-0.0412,2.159,93.4396,13.5939,0.3237,198.9751
2731.0,17.446,-0.0347,2.178,92.8319,13.4577,0.3155,199.1967
2731.5,17.3961,-0.0261,2.177,92.0225,12.603,0.3155,199.2647
2732.0,17.446,-0.0282,2.174,91.2788,11.8526,0.3194,199.0047
2732.5,17.446,-0.0196,2.147,91.0349,11.76,0.3228,198.8775
2733.0,17.446,-0.0152,2.143,91.2016,11.6219,0.3377,199.1333
2733.5,17.446,-0.0087,2.157,91.8922,11.1935,0.3491,199.507
2734.0,17.446,-0.0196,2.159,93.131,11.1693,0.3495,199.9127
2734.5,17.496,-0.0196,2.16,93.9666,11.6426,0.3546,200.1563
2735.0,17.496,0.0021,2.153,94.5151,11.7283,0.3617,200.2049
2735.5,17.496,-0.0044,2.148,94.6456,11.2819,0.3505,200.2049
2736.0,17.496,-0.0196,2.173,93.5592,11.4249,0.3343,200.2049
